Titre;Genres Netflix;Casting;Note IMDb;Date d'ajout;Lien Netflix;Type
Ace Ventura en Afrique;Comédies|#|Action et aventure|#|Aventure;Jim Carrey|#|Ian McNeice|#|Simon Callow|#|Maynard Eziashi|#|Bob Gunton|#|Sophie Okonedo|#|Tommy Davidson|#|Adewale Akinnuoye-Agbaje|#|Danny Daniels|#|Sam Phillips;6.4;2019-05-01;/title/215318/;film
Ace Ventura, détective chiens et chats;Comédies;Jim Carrey|#|Courteney Cox|#|Sean Young|#|Tone Loc|#|Dan Marino|#|Noble Willingham|#|Troy Evans|#|Raynor Scheine|#|Udo Kier|#|Frank Adonis|#|Tiny Ron;6.9;2019-05-01;/title/215309/;film
Action Point;Comédies;Johnny Knoxville|#|Eleanor Worthington Cox|#|Chris Pontius|#|Dan Bakkedahl|#|Johnny Pemberton|#|Brigette Lundy-Paine|#|Eric Manaka|#|Joshua Hoover;5.1;2019-02-04;/title/80210497/;film
Acts of Vengeance;Action et aventure|#|Action|#|Thrillers d'action;Antonio Banderas|#|Karl Urban|#|Paz Vega|#|Robert Forster|#|Clint Dyer|#|Cristina Serafini|#|Lillian Blankenship|#|Atanas Srebrev|#|Mark Rhino Smith;5.7;2018-01-24;/title/80190283/;film
Adam Devine: Best Time of Our Lives;Comédies|#|Stand-up;Adam Devine;5.7;2019-06-18;/title/80993404/;film
ADAM SANDLER 100% FRESH;Comédies|#|Stand-up;Adam Sandler;7.6;2018-10-23;/title/80224536/;film
Adel Karam: Live from Beirut;Comédies|#|Stand-up;Adel Karam;5.3;2018-03-01;/title/80203919/;film
Aditi Mittal: Things They Wouldn't Let Me Say;Comédies|#|Stand-up;Aditi Mittal;4.4;2017-07-18;/title/80183329/;film
Admis à tout prix;Comédies|#|Films pour ados;Justin Long|#|Jonah Hill|#|Adam Herschman|#|Columbus Short|#|Maria Thayer|#|Lewis Black|#|Blake Lively|#|Mark Derwin|#|Ann Cusack|#|Robin Lord Taylor|#|Hannah Marks|#|Anthony Heald;6.4;2019-12-16;/title/70044706/;film
Adorables Ennemies;Comédies|#|Films indépendants|#|Drames;Shirley MacLaine|#|Amanda Seyfried|#|Anne Heche|#|Thomas Sadoski|#|Philip Baker Hall|#|AnnJewel Lee Dixon|#|Gedde Watanabe|#|Tom Everett Scott|#|Joel Murray;6.6;2017-11-30;/title/80154681/;film
Advantageous;Films indépendants|#|SF et fantastique|#|SF;Jacqueline Kim|#|James Urbaniak|#|Freya Adams|#|Ken Jeong|#|Jennifer Ehle|#|Samantha Kim|#|Troi Zee|#|Olivia Horton|#|Jennifer Ikeda|#|Mercedes Griffeth;6.2;2015-06-22;/title/80038420/;film
Adventureland : Job d'été à éviter;Drames romantiques|#|Films indépendants|#|Films romantiques|#|Drames|#|Comédies|#|Comédies romantiques;Jesse Eisenberg|#|Kristen Stewart|#|Ryan Reynolds|#|Bill Hader|#|Kristen Wiig|#|Martin Starr|#|Margarita Levieva|#|Matt Bush|#|Wendie Malick|#|Jack Gilpin;6.8;2019-05-01;/title/70099787/;film
After Earth;Action, SF et fantastique|#|Action et aventure|#|Action|#|SF|#|SF et fantastique|#|Aventure;Jaden Smith|#|Will Smith|#|Sophie Okonedo|#|Zoë Kravitz|#|Glenn Morshower|#|Kristofer Hivju|#|Sacha Dhawan|#|Chris Geere|#|Diego Klattenhoff|#|David Denman|#|Monika Jolly|#|Lincoln Lewis;4.8;2019-03-22;/title/70263889/;film
After Porn Ends 3;Documentaires|#|Films documentaires;NA;5.3;2018-12-30;/title/80220761/;film
Agents Presque Secrets;Comédies|#|Action et aventure|#|Comédies d'action;Kevin Hart|#|Dwayne Johnson|#|Amy Ryan|#|Danielle Nicolet|#|Jason Bateman|#|Aaron Paul|#|Ryan Hansen|#|Tim Griffin|#|Timothy John Smith|#|Sione Kelepi;6.3;2019-10-10;/title/80094318/;film
Aggretsuko : Joyeux Noël et bon metal !;Séries japonaises|#|Séries d'animation japonaise;Kaolip|#|Shingo Kato|#|Komegumi Koiwasaki|#|Maki Tsuruta|#|Sohta Arai|#|Rina Inoue|#|Yuki Takahashi|#|Rarecho;7.5;2018-12-20;/title/81008536/;film
Ahmed Sylla - Avec un grand A;Comédies|#|Stand-up|#|Comédies françaises;Ahmed Sylla;NA;2019-12-20;/title/80221716/;film
Aile Arasında;Comédies|#|Films turcs;Engin Günaydın|#|Demet Evgar|#|Erdal Özyagcilar|#|Su Kutlu|#|Devrim Yakut|#|Fatih Artman|#|Gülse Birsel|#|Sevket Çoruh|#|Derya Karadas|#|Devin Özgür Cinar;7.8;2019-02-15;/title/81043345/;film
Aiyya;Films indiens|#|Films en hindi|#|Films romantiques|#|Films de Bollywood|#|Comédies|#|Comédies romantiques;Rani Mukerji|#|Prithviraj Sukumaran|#|Nirmiti Sawant|#|Subodh Bhave|#|Jyoti Subhash|#|Satish Alekar|#|Anita Date|#|Amey Wagh|#|Kishori Balal|#|Pakoda Pandi;4.3;2017-05-09;/title/70261058/;film
